en_wiki,requests,occupation,logvar
Adam_Sandler,96238,"singer,musician",0.09200271907422482
Eric_Clapton,94199,"guitarist,singer-songwriter,composer,jazz musician",0.09268284016256413
Bill_Cosby,94158,composer,0.2416095482460113
Buddy_Holly,94032,"guitarist,singer,musician,songwriter",0.532625872315309
Yoko_Ono,93796,"singer,musician,composer",0.314944875525476
Woody_Allen,93352,"clarinetist,jazz musician",0.09176375213738613
Zooey_Deschanel,92538,"singer-songwriter,musician",0.11349209358849051
Young_Thug,92432,"songwriter,rapper",0.2018744816910472
Anthony_Hopkins,91270,composer,0.22738391116747958
Catherine_Zeta-Jones,91245,singer,0.16513932668309558
Ozzy_Osbourne,91202,"singer-songwriter,composer,musician",0.11299549338095682
Seth_MacFarlane,91095,"singer,singer-songwriter,composer,jazz musician",0.11173247564322503
Carole_King,91057,"singer-songwriter,musician",0.4383200157891291
Marilyn_Manson,90717,"singer-songwriter,musician,composer",0.08964753255179841
Rita_Ora,90440,singer-songwriter,0.14937160201422436
Betty_White,90122,"singer,musician",0.2766529815999963
Carrie_Underwood,90016,"singer,singer-songwriter,composer,musician",0.29959597493738926
Emma_Roberts,89773,singer,0.08362294602357785
Allen_Iverson,89570,rapper,0.22322498631071114
Dave_Grohl,89048,"guitarist,singer-songwriter,musician",0.20386282233610756
Calvin_Harris,89019,"disc jockey,record producer,singer",0.1963839017993514
Kristen_Bell,88675,singer,0.1339641691827968
John_Legend,87981,"singer-songwriter,musician",0.2177664818767869
Travis_Scott_(musician),87640,rapper,0.19608048488352128
Marvin_Gaye,86832,"singer,composer,record producer,singer-songwriter,pianist,musician,songwriter",0.052450209714816266
Johann_Sebastian_Bach,86618,"composer,organist,harpsichordist,violinist,violist,conductor,choir director,concertmaster,virtuoso",0.12875767608938007
Zendaya,86515,singer,0.2671038524382301
Robert_Downey_Jr.,86336,"singer,musician",0.06284732185995179
Louis_Tomlinson,86157,singer,0.08577983879652704
Troye_Sivan,85907,"singer,composer",0.09948915231905076
Sean_Combs,85616,"musician,rapper",0.13102007590112782
Skrillex,85310,club DJ,0.13198710981468212
Sting_(musician),85218,"singer-songwriter,bassist,guitarist,composer,luth player",0.1421875912691339
Hailee_Steinfeld,85178,singer,0.0789778415552997
Ewan_McGregor,85037,singer,0.08734296898238951
James_Bay_(singer),84445,singer-songwriter,0.5038813993054481
Iggy_Pop,84405,"singer,musician",0.11648963798566159
Kylie_Minogue,83572,"singer,composer,music producer",0.17301136588426472
Adam_Levine,83386,"guitarist,singer,singer-songwriter,musician,composer",0.05816543798328259
Ray_Charles,83230,"pianist,composer,musician,singer-songwriter",0.3289886270914563
Janis_Joplin,83198,"singer,singer-songwriter,composer,musician",0.12274852830816216
Carly_Rae_Jepsen,83075,"singer,musician",0.3091921375700785
Patrick_Swayze,83059,singer-songwriter,0.17461335160401084
Sanjay_Dutt,82982,singer,0.7998627804067494
Jamie_Foxx,82950,"singer,rapper",0.17482093737887117
Frank_Ocean,82151,"singer-songwriter,musician,songwriter,composer",0.2277176194674118
Alex_Greenwald,81932,singer,0.6943336929827801
Macklemore,81914,"rapper,singer,singer-songwriter,songwriter,musician",0.26608634917469076
ASAP_Rocky,81382,rapper,0.11389098033777316
Diplo,81137,"disc jockey,record producer,songwriter",0.1784859048891786
Hilary_Duff,80679,"singer,singer-songwriter,composer,musician,record producer",0.18293771624129704
Bruce_Willis,80386,singer,0.07374299126645817
Amanda_Seyfried,80325,"singer,singer-songwriter",0.07088720568155828
Hugh_Laurie,80302,"pianist,musician",0.1105134392170032
Brittany_Murphy,79991,"singer,musician",0.13584450000001805
Ciara,79758,"singer,singer-songwriter,musician,composer",0.32952236806460355
Ruby_Rose,79694,disc jockey,0.105980211498164
Joe_Jonas,79587,"singer,musician,singer-songwriter",0.1290216249557906
Alanis_Morissette,79576,"singer-songwriter,singer,composer,musician,record producer",0.1885645437494044
Brian_Wilson,79084,"singer,singer-songwriter,composer,songwriter",0.22075708177601835
LL_Cool_J,79057,"songwriter,rapper",0.25306294238254334
Brittany_Howard,78833,singer,1.0862714561933753
Billy_Joel,78600,"singer-songwriter,pianist,composer,musician",0.1642729214772127
Cheryl_Fernandez-Versini,78504,"singer,musician",0.4731265888868596
River_Phoenix,78471,"musician,singer-songwriter,composer,guitarist",0.1942120983105719
Alessia_Cara,78426,singer,0.14279298700434306
Amitabh_Bachchan,78203,singer,0.13990120508422743
Vicki_Lawrence,78060,singer,1.3046319264222304
Paris_Hilton,78028,singer,0.10144201121867288
Pink_(singer),77828,"singer,singer-songwriter,composer,musician",0.07743932749208692
Farrah_Abraham,77713,"singer,musician",0.20278383126017308
Judy_Garland,77601,singer,0.18764208911889926
J._J._Abrams,77524,composer,0.1452648353093805
Aaliyah,77456,"singer,musician",0.10021115540261002
Krysten_Ritter,77234,"singer-songwriter,composer,musician,guitarist",0.06546754972573757
Ringo_Starr,76817,"drummer,composer,singer-songwriter",0.09156016173714669
Jim_Parsons,76771,singer,0.11828827040652695
Whoopi_Goldberg,76743,"singer-songwriter,singer,composer",0.326156788226307
Eva_Green,76592,composer,0.06078075258511066
James_Brown,76500,"singer-songwriter,singer,composer,musician,record producer",0.2369792257644444
Quincy_Jones,76323,"conductor,trumpeter,composer,bandleader,jazz musician,record producer",0.17450443845552507
Janet_Jackson,75893,"singer,singer-songwriter,composer,musician",0.13608496962885272
Kid_Cudi,74664,"singer-songwriter,musician,composer,rapper",0.24766613648451902
Pitbull_(rapper),74570,"singer,singer-songwriter",0.18935571930081535
Don_Henley,74449,"singer,composer,musician",0.3108114590560076
Austin_Butler,74169,"singer,guitarist",0.31765630174018405
Jean-Jacques_Rousseau,74114,"composer,musician",0.19138570564826013
Bj%C3%B6rk,73908,"composer,singer,songwriter",0.12932038774255436
Nas,73807,"rapper,record producer",0.10691474535557542
Neil_Patrick_Harris,73653,musician,0.10017385851247244
Zara_Larsson,73362,singer,0.16109286487731403
Slash_(musician),73091,"composer,bajista,songwriter,guitarist",0.12402492943240959
