en_wiki,requests,instance_of,logvar
Baron_Zemo,39623,"supervillain,superhero",0.2273848704684087
Cyclops_(comics),39443,"mutant,superhero",0.20470735410383747
Taskmaster,39332,"mutate,supervillain",0.31679375888156536
Stanford_Tree,39224,mascot character,0.021356253520410956
Robin_(comics),39121,fictional character,0.09769003908033948
Krampus,38888,figure used in threatening children,0.3452396062023407
Legion_(Marvel_Comics),38759,mutant,0.508168328229762
Warren_Worthington_III,38695,"mutant,superhero",0.22177671663151946
Rama,38177,avatar,0.11713858740499117
Cyborg_(comics),38024,fictional human,0.1201997338961336
Sphinx,37718,mythical character,0.12793876786295813
Set_(deity),37626,"deity,mythical character",0.266782277936577
The_Stig,37397,fictional human,0.2961837228842469
Michonne,37265,"fictional human,television character,comic character",0.8433593926341408
Eros,37199,Greek primordial deity,0.1398776187527654
Carol_Danvers,37134,"fictional character,superhero",0.09401215853490014
Beelzebub,37085,mythical character,0.09049846325439384
Inhumans,37074,fictional character,0.12513262371018535
Lord_Voldemort,36996,"wizard in the Harry Potter universe,supervillain",0.1292613533156303
Hawkgirl,36848,fictional human,0.08509391676707066
Lex_Luthor,36768,"fictional character,supervillain",0.10747610881088027
Han_Solo,36750,"character from Star Wars,fictional human,film character",0.13693962035782128
Yahweh,36611,deity,0.09540852042330646
Pee-wee_Herman,36593,fictional human,0.4955835115718365
Katana_(comics),36315,fictional character,0.12501573833393165
Gabriel,36150,"Angels in Judaism,angel in Christianity",0.06858562561328549
Sabretooth_(comics),36074,"supervillain,superhero,comic character",0.23497739092588277
Damian_Wayne,36052,fictional character,0.09128507612948988
Madelyne_Pryor,35962,mutant,0.8418252866761445
Mary_(mother_of_Jesus),35721,human biblical character,0.08201167064614834
Cole_Turner,35503,fictional character,0.5374175258881554
Hugo_Strange,35428,"fictional character,supervillain",0.18984543803876866
Jason_Todd,35378,fictional character,0.09841094687877873
Magneto_(comics),35178,"supervillain,superhero",0.11344148423626296
Venom_(comics),35164,fictional human,0.19100124824358064
Kingpin_(comics),34725,"supervillain,fictional human",0.13895262997684443
Icarus,34694,mythological Greek character,0.16280005153008906
Bizarro,34689,"comic character,supervillain",0.384635538732971
Godzilla,34646,"fictional character,fictional dinosaur",0.10936560946371282
Roy_Harper_(comics),34366,fictional character,0.11639537240215315
Madame_Masque,34364,supervillain,0.36017208633434017
Long_John_Silver,34342,"fictional human,antagonist",0.18093051942563207
Maz_Kanata,34254,fictional character,0.38657522596481886
Hanuman,34236,fictional character,0.10720271596835337
Cerberus,34174,mythical creature,0.1840905201925073
Hathor,33946,"deity,mythical character",0.32211269402128173
Star-Lord,33906,"fictional character,superhero",0.1273718303240876
Peggy_Carter,33901,fictional character,0.16999280325555066
Bart_Allen,33733,fictional human,0.15362447336285234
Demeter,33661,Twelve Olympians,0.20844107903607267
Hatsune_Miku,33651,fictional character,0.07557280815256949
John_Constantine,33608,fictional human,0.09265939810151529
Hecate,33588,goddess,0.14225507932824857
Daenerys_Targaryen,33552,"Game of Thrones character,A Song of Ice and Fire character,fictional human",0.10159042261625509
Batwoman,33520,fictional human,0.11743298966648807
Baba_Yaga,33504,mythical character,0.17996734700301278
Rachel_Summers,33403,"mutant,superhero",0.44092199098076684
Rick_Grimes,33189,fictional human,0.47409427373161206
Barbara_Gordon,32937,fictional human,0.10141399017510636
Talia_al_Ghul,32909,"comic character,supervillain",0.0794146138949488
Chinese_dragon,32667,water deity,0.13488459192631766
Thor_(Marvel_Comics),32642,"fictional character,superhero,Asgardian",0.13109417859552663
